C0000886	[1, 9, 10, 4, 11, 20]
C0001216	[10, 16, 7, 14, 15]
C0001280	[0, 1, 2, 3]
C0002449	[0, 6, 2, 5, 7]
C0003154	[0, 3, 4, 7, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 25, 1, 5]
C0003273	[0, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14]
C0003315	[2, 3, 4, 9, 17, 21, 22, 29, 30, 31, 32, 34, 35, 0, 6, 7, 8, 11, 12, 14, 18, 20, 23, 24, 27, 33]
C0003649	[3, 6, 10, 13, 14]
C0004112	[2, 10, 11, 17, 18, 19, 22, 23, 24, 25, 26, 1, 8, 9, 12, 15, 20, 21]
C0004461	[2, 3, 12, 7, 10, 11, 14, 15]
C0004561	[8, 10, 17, 26, 29, 31, 36, 37, 40, 41, 42, 43, 44, 45, 48, 1, 3, 4, 5, 6, 7, 14, 16, 19, 23, 24, 25, 27, 28, 34, 35, 39]
C0004827	[3, 15, 16, 8, 17, 22]
C0005773	[1, 8, 9, 13, 14, 15, 16, 17, 18, 3, 6, 10, 11, 12, 19, 20]
C0005821	[0, 3, 4, 15, 25, 29, 37, 43, 51, 1, 2, 9, 19, 23, 24, 34, 36, 45, 50, 53, 54]
C0005955	[2, 6, 10, 12, 13, 14, 3, 4, 5, 7, 8]
C0007592	[0, 1, 2, 3]
C0007600	[0, 5, 15, 18, 19, 2, 4, 6, 7, 8, 9, 10, 12, 13, 14, 16]
C0007601	[0, 1, 2, 3]
C0007603	[1, 9, 15, 18, 21, 22, 23, 25, 26, 27, 30, 31, 39, 6, 8, 10, 11, 12, 13, 14, 17, 19, 20, 34, 37, 38, 40, 44, 47]
C0007609	[0, 1, 2, 12, 13, 14, 7, 11]
C0007610	[0, 3, 4, 13, 27, 1, 2, 10, 12, 14, 25, 26]
C0007623	[0, 4, 6, 7, 3, 5]
C0007625	[0, 2, 4, 5, 6, 7, 8, 9, 10, 1]
C0007634	[4, 20, 21, 1, 2, 3, 11, 14, 24, 26, 28, 31, 33, 36]
C0007635	[2, 4, 5, 8, 9, 0, 1, 3, 6, 10, 11]
C0007637	[0, 2, 4, 6, 7, 8, 10, 14, 16, 3, 5, 9, 13, 15]
C0007708	[4, 13, 9, 12, 14, 15]
C0007709	[5, 6, 14, 8, 13, 15]
C0008010	[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 14]
C0008266	[0, 5, 3, 4, 6, 7]
C0008422	[0, 1, 2, 3]
C0008537	[0, 1, 3, 4]
C0008545	[2, 7, 3, 6, 8]
C0008572	[0, 1, 4, 2]
C0008633	[5, 18, 19, 0, 13, 14, 17, 21, 22]
C0008641	[0, 1, 3, 4]
C0008642	[0, 1, 2, 3]
C0008643	[0, 1, 2, 5, 3, 4, 6]
C0008644	[2, 3, 5, 7, 8, 9]
C0008645	[2, 3, 5, 7, 8, 9]
C0008646	[2, 3, 5, 7, 8, 9, 10]
C0008647	[2, 3, 5, 7, 8, 9]
C0008648	[3, 4, 5, 8, 10, 11, 0, 9]
C0008649	[2, 3, 5, 7, 8, 9]
C0008650	[1, 2, 3, 4, 5, 6]
C0008651	[5, 15, 0, 1, 3, 9, 10]
C0008652	[4, 12, 0, 2, 6, 8]
C0008653	[3, 12, 1, 7, 8]
C0008654	[4, 12, 0, 2, 6, 8]
C0008655	[5, 13, 0, 1, 3, 7, 9]
C0008656	[4, 13, 0, 2, 8, 9]
C0008657	[4, 13, 0, 2, 8, 9]
C0008658	[4, 12, 0, 2, 6, 8]
C0008659	[3, 12, 1, 7, 8]
C0008660	[4, 13, 0, 1, 3, 8, 9]
C0008661	[4, 12, 0, 2, 6, 8]
C0008662	[5, 13, 14, 0, 1, 3, 7, 9]
