C0002085	[1, 8, 12, 13, 6, 7, 10, 11]
C0003689	[0, 1, 2]
C0005291	[0, 1, 2, 3, 4]
C0008288	[1, 3, 9]
C0008844	[1, 2, 0]
C0017258	[0, 1, 2, 4, 3]
C0017272	[0, 3, 7, 8, 2, 4]
C0017337	[1, 20, 21, 11, 13, 17, 24, 25]
C0017338	[1, 3, 4, 5]
C0017339	[1, 4, 6, 7, 2, 3, 5]
C0017340	[0, 1, 2, 3]
C0017342	[0, 5, 7, 8, 2, 6]
C0017343	[1, 4, 7, 8, 5]
C0017344	[0, 1, 2, 3]
C0017345	[1, 3, 4, 5, 2]
C0017346	[1, 2, 5, 7, 8, 6]
C0017347	[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 16, 21, 23, 26, 29, 14, 15, 17, 18, 22, 24, 25, 27, 28]
C0017348	[0, 1, 2, 3]
C0017349	[0, 1, 3, 4, 5, 6, 9, 2, 10]
C0017350	[0, 1, 2, 3, 4, 5, 8, 11, 6, 9, 12]
C0017351	[0, 1, 5, 18, 6, 7, 11, 19]
C0017352	[0, 1, 2]
C0017353	[0, 1]
C0017354	[0, 1, 3, 6, 4]
C0017355	[0, 1, 3, 4, 5, 7, 8]
C0017356	[0, 1, 2, 3, 4, 5, 6, 9, 11, 8]
C0017357	[0]
C0017359	[0, 1, 3, 5, 4]
C0017360	[0, 1, 2, 6, 7, 3, 8]
C0017361	[1, 3, 5, 8, 6, 7, 9]
C0017362	[1, 2, 4, 5, 7, 10, 11, 14, 0, 3, 8, 12, 13]
C0017363	[0, 1, 2, 3]
C0017364	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
C0017365	[1, 2, 3, 4, 5, 0]
C0017366	[1, 4]
C0017367	[0]
C0017368	[0]
C0017370	[0]
C0017371	[0]
C0017372	[1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 14, 15, 0, 11]
C0017373	[1, 2, 3, 5, 0]
C0017374	[0, 1, 2, 3, 4, 5, 6, 7, 8]
C0017375	[0, 1, 8, 10, 11, 12]
C0017376	[0, 1, 3, 6, 4, 5]
C0017428	[1, 2, 10, 7, 9, 11, 12, 13]
C0017429	[1, 2, 4, 10, 6, 8, 9, 11]
C0017430	[0, 1, 2, 3, 5, 6, 7, 8]
C0018443	[0, 1, 2, 3]
C0018446	[0, 1, 2]
C0019722	[0, 1]
C0021873	[0, 1, 2, 3, 4, 5, 6, 7, 8]
C0022457	[0, 1, 2, 4]
C0022895	[0, 3, 5, 7, 8, 9, 10, 11, 2, 6]
C0022959	[0, 1, 2, 4, 5]
C0024518	[0, 1, 2, 3, 4, 6, 7, 8, 11, 12, 17, 5, 9, 15, 16, 19, 20]
C0026190	[0, 1, 2, 3, 5, 6, 9]
C0026574	[2, 4, 6, 14, 15]
C0026575	[0, 1, 2, 3, 4]
C0026900	[2, 3, 8, 11, 12, 22, 23, 24, 25, 26, 27, 31, 33, 35, 36, 10, 30]
C0026902	[0, 1, 4, 5, 7]
C0027260	[0, 1, 2, 3, 4, 5, 6, 7]
C0029016	[4, 5, 7, 14, 15, 18, 19, 0, 2, 11, 12, 16, 17]
C0029073	[0, 3, 2, 4]
C0033227	[0, 1, 2, 3]
C0033713	[3, 5, 8, 13, 10, 11, 12, 15, 17, 18]
C0033799	[1, 6, 3, 5]
C0034677	[1, 2, 3, 6, 4, 5]
C0034678	[2, 3, 6, 4, 5, 9, 10]
C0035018	[2, 3, 7, 8, 9, 10, 12, 15, 16, 24, 25, 30, 32, 33, 34, 1, 26, 29]
C0035899	[0, 1, 2, 3, 6, 8, 9, 11, 12, 13, 14, 4, 5, 7]
C0035900	[0, 1, 4, 6]
C0035903	[0, 1, 2, 3]
C0037207	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15]
C0038085	[0, 1, 2, 4, 6]
C0039020	[0, 1, 2, 3, 4, 5]
C0039480	[0, 1, 2, 3, 4]
C0042720	[0, 1, 3, 4, 7, 5, 6, 8]
C0079010	[0, 1, 2, 3, 4]
C0079011	[0, 1, 2, 3, 4]
C0079050	[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 2]
C0079056	[0, 1, 2]
C0079057	[0, 1, 2]
C0079058	[0, 1, 2]
C0079060	[0, 1, 2]
C0079061	[0, 2, 3]
C0079062	[0, 1, 2]
C0079063	[0, 1, 2]
C0079065	[0, 1, 2]
C0079066	[0, 1, 2, 3, 4]
C0079067	[0, 1, 2, 3, 4]
C0079068	[0, 1, 2, 3, 5, 6, 4]
C0079070	[0, 1, 2, 3, 4]
C0079071	[0, 1, 2]
C0079072	[0, 1, 2]
C0079073	[0, 1, 3, 4, 5, 6, 7, 8, 9, 10, 11]
C0079413	[0, 1, 2, 3]
C0079414	[5, 6, 10, 22, 23, 17]
C0079415	[0, 1, 2, 3]
C0079417	[0, 1, 2, 3, 4]
C0079419	[1, 2, 3, 4, 8, 11, 22, 23, 26, 0, 6, 13, 14, 17, 31, 36, 38]
